Video_Title,Duration,Views,Likes,Comments,Published_Date
ISMO | Smartest Animal,00:01:19,216756,6300,179,2025-10-07
ISMO | I Love Sausages,00:00:33,160453,2570,75,2025-10-05
ISMO | #1 Sauna,00:01:45,515272,14468,610,2025-10-02
ISMO | Accent Coach,00:01:40,415660,9262,154,2025-10-01
ISMO | Dumbest Campaigns,00:01:52,1214699,26242,381,2025-09-29
ISMO | Inches Matter,00:01:05,175460,3321,99,2025-09-25
ISMO | Sweden vs Finland,00:01:04,316680,7024,248,2025-09-23
ISMO | Boarding Sucks,00:01:57,296541,8812,243,2025-09-19
ISMO | What's Up 🤯,00:01:02,307834,7541,141,2025-09-18
ISMO | Glory Hole,00:01:48,364388,10662,437,2025-09-17
ISMO | Eating Animals,00:01:01,256442,6680,137,2025-09-16
ISMO | Women Are Complicated,00:00:50,316619,7035,123,2025-09-13
ISMO | SISU,00:01:11,61296,2279,133,2025-09-12
ISMO | The Best Names,00:00:49,111080,2125,74,2025-09-09
ISMO | Why Fly Redeye?!,00:00:52,139048,2641,36,2025-09-08
A broken back can’t break my spirit! Get ready for some sit-down comedy!,00:02:48,29792,818,72,2025-09-08
ISMO | Baiting Vegans,00:01:45,313815,5933,153,2025-09-07
BREAKING NEWS: I broke my back!,00:01:04,91452,2603,393,2025-09-05
ISMO | Can I Get Some Creammm?,00:01:21,237032,4365,139,2025-09-04
ISMO | Am I Going To War,00:01:28,687233,15078,181,2025-09-02
ISMO | I said I have a cough,00:01:10,536290,10426,149,2025-08-28
ISMO | Tip of The Assberg,00:01:32,336023,7539,133,2025-08-25
ISMO | Lying,00:01:38,423387,8109,112,2025-08-22
ISMO | No Lying at the Airport,00:02:45,110199,2514,53,2025-08-22
ISMO | Finger Licking Good,00:02:03,57179,2694,60,2025-08-19
ISMO | Half of Finland is Here,00:01:08,197755,3378,53,2025-08-06
ISMO | America You Don't Have To Worry,00:00:39,196297,2885,129,2025-08-05
ISMO | Uber Eats,00:00:44,140205,2114,39,2025-07-30
ISMO | Its a Tragediegh,00:00:49,213698,3341,73,2025-05-23
ISMO | Babies and Kids,00:02:51,53699,1221,74,2025-05-21
ISMO | That's a Big Baby,00:01:05,264445,3778,37,2025-05-21
ISMO | The b is subtle,00:01:36,432853,7332,133,2025-05-20
ISMO | I Got The Message,00:00:22,257727,2037,15,2025-05-20
ISMO | Understanding How Money Works,00:04:40,144478,2701,114,2025-05-20
ISMO | I like America  #comedy #standup #standupcomedy,00:01:16,247029,4451,48,2025-05-16
ISMO | He didn't let me Finnish  #comedy #standup #standupcomedy,00:00:53,592219,8529,130,2025-05-14
ISMO | The hardest English word  #standupcomedy #comedy #standup,00:01:08,422589,8035,185,2025-05-14
ISMO | Understanding America,00:04:00,209422,4804,190,2025-05-13
ISMO | Live and learn  #funnystandup #standup #standupcomedy,00:00:36,144924,1799,15,2025-04-19
ISMO | Man's smelliest friend  #funnystandup #standup #standupcomedy,00:00:53,183668,2748,36,2025-04-18
ISMO | Bow wow  #funnystandup #standup #standupcomedy #comedy,00:01:34,360602,6983,99,2025-04-17
ISMO | The world debt #funnystandup #standup #comedy #standupcomedy,00:00:45,156581,2345,25,2025-04-16
ISMO | Banks vs. World #funnystandup #standup #standupcomedy,00:01:29,342306,9514,197,2025-04-15
ISMO | Universal debt #funnystandup #standup #comedy #standupcomedy,00:00:26,181172,2560,55,2025-04-14
ISMO | World Debt,00:02:41,132085,2582,136,2025-04-09
ISMO | Too many products  #funnystandup #comedy #standupcomedy,00:01:05,335792,5461,65,2025-04-09
ISMO | The original moisturizing product  #funnystandup #comedy #standupcomedy,00:00:54,327493,5424,54,2025-04-08
ISMO | A man's beauty routine  #funnystandup #comedy #standupcomedy,00:00:57,463470,7324,152,2025-04-07
ISMO | RIP chivalry  #funnystandup #comedy #standupcomedy,00:00:37,129430,2658,25,2025-04-06
ISMO | Worst idea ever  #funnystandup #comedy #standupcomedy,00:00:37,199945,3661,69,2025-04-05
ISMO | Can't spell manners without man  #funnystandup #comedy #standupcomedy,00:01:07,187886,3946,27,2025-04-04
ISMO | Chivalry is Done,00:03:41,63297,2740,79,2025-04-03
"ISMO | It could really mean anything, except what it means #funnystandup #standupcomedy",00:01:17,380564,10599,151,2025-03-07
ISMO | Her's and mine #funnystandup #standupcomedy,00:01:11,256698,8328,137,2025-03-06
ISMO | It's nothing and everything #funnystandup #standupcomedy,00:01:07,763195,21689,327,2025-03-05
ISMO | Let's talk about it,00:03:55,88891,3700,99,2025-03-04
ISMO | good thing there's more options #funnystandup #standupcomedy #standupcomedian,00:00:18,201184,2276,31,2025-02-21
ISMO | save this for future use #standupfeaturing #funnystandup #standupcomedian #standupcomedy,00:01:42,279612,6250,139,2025-02-19
ISMO | Back in my day  #funnystandup #standupfeaturing #standupcomedynight #standupcomedy,00:00:57,571468,10084,102,2025-02-18
ISMO |  Throwback Thermometer,00:03:27,89531,2217,63,2025-02-17
ISMO | I got robbed  #standupcomedy #funnystandup #standupcomedian #standups #comedy,00:01:02,934545,23843,197,2025-02-14
ISMO | Elliptical  #standupcomedy #standups #funnystandup #standupcomedynight #standupcomedian,00:00:59,327952,8134,57,2025-02-12
ISMO | Calories aren't real  #standupcomedy #standupcomedian #funnystandup #standupcomedynight,00:01:17,218310,6302,94,2025-02-11
ISMO | Working Out,00:03:51,153954,3275,92,2025-02-10
ISMO | Smart A$$ #standupcomedy #funnystandup #standupcomedian,00:00:57,1022218,25972,205,2025-02-07
ISMO | complicated words  #standupcomedy #funnystandup #standupcomedian #standups,00:01:35,626348,14440,197,2025-02-05
ISMO | Add it to Anything #newstandupcomedy #funnystandup #standupcomedy #standupcomedian,00:00:33,117209,3004,23,2025-02-04
ISMO | Complicated English Words,00:08:06,245353,5309,210,2025-02-03
ISMO |. How men see the world  #standup #comedy #funnystandup,00:01:01,157207,2611,26,2025-01-27
ISMO | World Debt  #comedy #funnystandup #standup,00:00:45,214203,4679,66,2025-01-25
ISMO | nothing makes sense  #comedy  #standupcomedy #techjokes,00:00:53,202180,6463,74,2025-01-24
ISMO | The World's Debt,00:02:54,211058,5685,199,2025-01-23
ISMO | I just don't get it...  #comedy  #standupcomedy  #timetothink,00:01:17,103920,3471,41,2025-01-22
ISMO | Let's gooooo # #comedyvideo  #comedy  #funnystandup,00:00:25,216581,5977,63,2025-01-21
ISMO | Where does the time go?  #timetothink #comedy  #funnystandup  #comedyvideo  #standupcomedy,00:00:43,269524,7706,96,2025-01-17
ISMO | What did I miss? #comedy  #standupcomedy  #funnystandup,00:01:08,536195,14575,203,2025-01-16
ISMO | I was MIA #comedy  #standupcomedy,00:00:59,333931,7952,72,2025-01-14
ISMO | Flying Through Time,00:03:16,138581,3100,96,2025-01-13
ISMO | Fish Out of Water,00:01:14,37727,721,10,2025-01-06
ISMO | American Expressions,00:03:04,118999,2235,66,2024-12-31
ISMO | Time to Think,00:01:13,39375,930,19,2024-12-30
ISMO | Some Positions,00:01:02,25510,637,6,2024-12-27
ISMO | Sleep Anywhere,00:01:47,22032,381,15,2024-12-25
ISMO | Sleeping Around,00:07:06,56338,1395,61,2024-12-24
ISMO | Finland and New Zealand  #comedyvideo,00:00:46,126798,3429,21,2024-12-23
ISMO | English is Hard for Me,00:01:19,52880,752,50,2024-12-20
ISMO | Eat Everything,00:01:45,30413,698,23,2024-12-18
ISMO | My Trip to New Zealand,00:04:32,423832,8181,219,2024-12-17
ISMO | Is This Soap?,00:01:35,29337,557,25,2024-12-16
ISMO | Take A Shower,00:00:46,73475,1835,19,2024-12-13
ISMO | A Man's Bathroom,00:01:08,15798,349,14,2024-12-11
ISMO | Sharing the Bathroom,00:04:01,34336,1054,30,2024-12-09
ISMO | Sea Sells Sea Shells? #funnystandup,00:00:56,126727,3401,39,2024-11-25
ISMO | Not The Best Business,00:01:09,57352,667,37,2024-11-22
ISMO | Sea Shore,00:01:21,11434,236,18,2024-11-18
ISMO | Sally Sells Sea Shells,00:03:47,19276,738,28,2024-11-17
ISMO | S*x Workers #comedy,00:00:34,65211,1898,23,2024-11-15
ISMO | Animal Humor,00:01:01,52482,1011,10,2024-11-13
ISMO | I Enjoy Words,00:06:44,450246,8427,252,2024-11-12
ISMO | Liiiiiiterally,00:00:52,70185,2528,18,2024-11-11
"ISMO | See Somesthing, Say Somesthing",00:01:02,28657,445,12,2024-10-25
ISMO | Group 7,00:01:43,21772,607,18,2024-10-24
ISMO | Flying Military,00:01:08,15286,565,5,2024-10-23
ISMO | Airports,00:05:01,85701,1830,42,2024-10-23
ISMO | Illogical,00:01:28,33693,1125,26,2024-10-11
ISMO | The Dog,00:01:19,20728,639,10,2024-10-09
ISMO | Family,00:01:27,15024,608,16,2024-10-09
ISMO | Family,00:05:35,227501,4205,53,2024-10-08
ISMO | Spooky Studio #funnystandup #standupcomedy #standupcomedynight,00:00:31,114780,3695,23,2024-10-07
ISMO | Time travelling,00:01:57,17072,618,28,2024-10-06
ISMO | I like juice #funnystandup #standupcomedy #standupcomedynight,00:00:32,116402,2628,28,2024-10-05
ISMO | Not Anywhere,00:03:04,86079,2740,64,2024-10-04
ISMO | Deep Ish  #funnystandup #standupcomedy #standupfeaturing,00:00:48,138878,4192,54,2024-09-27
ISMO | Spicing Things Up,00:03:12,174279,3786,85,2024-09-25
ISMO | Thermometers,00:02:05,56517,1467,57,2024-09-23
ISMO | Dating Again,00:04:18,231821,4483,117,2024-09-20
ISMO | Risky Lyrics  #funnystandup #standupcomedy #standupfeaturing #standupcomedynight #standups,00:00:47,356857,11449,108,2024-09-19
ISMO | Counting Calories,00:04:07,66120,1363,51,2024-09-18
ISMO | I Come From Finland,00:01:11,37539,888,35,2024-09-17
ISMO | Weird Questions #standupcomedy #funnystandup #standupcomedynight #standupcomedian,00:00:50,104278,3268,24,2024-09-16
ISMO | I am am not a liar  #standupfeaturing #standupcomedy #funnystandup #standupcomedian,00:00:49,106738,2496,22,2024-09-16
ISMO | Making a Mess,00:04:00,46533,1522,29,2024-09-16
ISMO | Lie?,00:01:39,35649,1313,34,2024-09-14
ISMO | American License,00:03:54,118429,2478,97,2024-09-13
ISMO | First Moved Here,00:04:01,122135,2983,87,2024-09-11
ISMO | Americans,00:03:46,275189,4708,108,2024-09-10
ISMO | I'm Straight? #standupfeaturing #comedy #funnystandup,00:00:27,122813,3265,45,2024-09-06
ISMO | Life of a Dog  #comedy #standupcomedy #funnystandup,00:00:54,180970,6460,62,2024-09-05
ISMO | Robot Takeover,00:01:24,86661,2748,53,2024-09-04
ISMO | Sounds of Love,00:02:33,71588,2147,39,2024-08-31
ISMO | Chivalry is Dead,00:01:17,32751,1158,37,2024-08-30
ISMO | His & Hers,00:03:08,140732,3415,81,2024-08-29
ISMO | Temperature,00:01:04,52279,1485,97,2024-08-28
ISMO | Tongue Twisters,00:02:52,86653,2279,41,2024-08-27
ISMO | Military Minutes,00:01:14,106444,2244,101,2024-08-16
ISMO | Comforting Words  #standupcomedian #standupshow,00:00:52,232325,6569,38,2024-08-15
ISMO | Silly Social Rules,00:01:35,101295,2463,52,2024-08-14
ISMO | Rest? Room? #standupcomedy #funnystandup #comedy #standupcomedian,00:00:53,1389184,33733,568,2024-08-02
ISMO | Well Then  #standupcomedy #comedy #funnystandup #standupcomedian,00:00:48,456732,14260,78,2024-07-31
ISMO | Waiting Game,00:01:24,94830,2000,27,2024-07-29
ISMO | Internal Medicine,00:01:24,77494,2146,60,2024-07-26
ISMO | First Dates,00:01:20,55651,1447,41,2024-07-24
ISMO | Imperial System,00:01:13,68267,1733,95,2024-07-22
ISMO | Pounds,00:01:42,307212,5287,229,2024-07-19
ISMO | Gluten Free,00:01:05,72691,1791,52,2024-07-17
ISMO | Beaty and the Beasts,00:01:20,53494,1196,36,2024-07-15
ISMO | Ten Foot Pole,00:01:25,61035,1608,81,2024-06-28
ISMO | Literally Just Jokes,00:01:16,64103,2029,35,2024-06-26
ISMO | Drinking Habits,00:01:26,246701,4580,114,2024-06-24
ISMO | Our Dreams #standupcomedy #comedy #standup #jokes,00:00:37,177278,5359,46,2024-06-24
ISMO | Information Overload,00:01:16,36839,1105,30,2024-06-21
ISMO | Childhood Dreams,00:01:09,58490,2215,59,2024-06-19
ISMO | Personal Trainer #comedy #standupcomedy #standup #jokes #funny #standupcomedian #crowdwork,00:00:29,104455,1754,23,2024-06-18
ISMO | Personal Trainer,00:01:14,83290,2173,33,2024-06-17
ISMO | Accents,00:01:10,97385,2347,60,2024-06-14
ISMO | The best place to have fun. IKEA!,00:01:22,49557,1384,54,2024-06-12
ISMO | Horror Movies  #comedy #standup,00:00:55,166986,6161,49,2024-06-10
ISMO | Big or Small?  #standupcomedy #standup,00:00:53,241644,4288,17,2024-06-08
ISMO | Big or Small Hair,00:01:01,50408,901,19,2024-06-07
ISMO | Food Obsession  #comedy #standupcomedy,00:00:45,192381,5843,78,2024-06-05
ISMO | Water Diet  #comedy #standupcomedy,00:00:55,147243,4348,37,2024-06-04
ISMO | Active Military,00:01:28,113303,2876,56,2024-05-27
ISMO | Plant Feelings,00:01:00,250853,8385,274,2024-05-24
ISMO | Clear Communication,00:01:01,57057,1158,34,2024-05-22
ISMO | Debts,00:01:04,42850,1022,28,2024-05-20
ISMO | California Weather,00:01:06,78268,1775,12,2024-05-17
ISMO | Pilates DVD #comedy #standupcomedy #standup #jokes,00:00:29,102177,2997,33,2024-05-15
ISMO | Mother's Day,00:01:29,144644,2862,58,2024-05-12
ISMO | Dating in America,00:01:00,791273,17138,293,2024-05-10
ISMO | Kids or No Kids?,00:01:33,108831,2914,80,2024-05-08
ISMO | Fine Dining,00:00:48,363737,11327,166,2024-05-06
ISMO | English Enhancer,00:00:43,253994,8516,83,2024-05-03
ISMO | No Means Yes,00:00:25,199876,7315,79,2024-05-01
ISMO | Brothers,00:00:56,335008,10325,94,2024-04-24
ISMO | Literally,00:01:13,75140,1805,78,2024-04-19
ISMO | Fish Out of Water,00:01:17,110226,2312,49,2024-04-17
ISMO | I'm Straight BUT...,00:00:25,171479,4900,93,2024-04-15
ISMO | English I'll Never Use,00:01:39,32055,1064,24,2024-04-12
ISMO | Tech,00:00:53,301720,10590,104,2024-04-10
